City, Price ,Address,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Trois-Rivieres," 389,000 ",1735 rue de Bruxelles,3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 865,000 ","1475-1477-1479, rue Houle",3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 575,000 ",1365 rue Houle,6,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 447,500 ",1033 rue des Grives,4,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 925,000 ",4170 rue Notre-Dame Est,3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 347,000 ",6980 rue de Honfleur,5,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 279,900 ",1014-1016-1018,5,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 272,000 ",5894 rue de la Seine,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 519,485 ",2090 RUE ALLEGRO,4,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 789,000 ","1559-1561-1563-1565, rue Leo Ayotte",2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 250,000 ",11-5315 rue Léo-Pidgeon,2,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 695,000 ",1740 boulevard des Chenaux,3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 535,000 ",1590 RUE JOSEPH-BOIVIN,4,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 345,000 ",1915 place Georges-Lambert,3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 449,000 ","1011-1013-1015, rue Sainte-Ursule",6,3,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 494,000 ",3955 Côte Richelieu,3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 449,000 ",75 rue du Bosquet,5,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 199,500 ",103-4660 place de la Marquise,1,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 639,000 ",1890 rue de Moscou,4,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 485,000 ","2869-2871, rue de Francheville",3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 450,000 ",216 rue du Parc,4,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 299,000 ",4195 rue Papineau,4,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 304,900 ",rue Adagio,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 415,000 ",1210 rue Houle,4,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 430,000 ",65 rue Monseigneur-Tessier,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 410,000 ",7310 place Arthur-Carignan,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 322,000 ",1308 11e Rue,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 318,000 ",2900 boulevard Saint-Michel,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 398,500 ",rue de l'Artisan,5,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 459,500 ",rue de l'Aubergiste,5,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 435,000 ","269-275, rue Saint-Maurice",12,4,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 480,000 ",12220 boulevard des Forges,4,3,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 195,000 ",106-1700 6e Rue,1,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 380,000 ","120-124-128, rue Mongeau",9,3,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 494,999 ",1715 rue du Fief,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 375,000 ",1375 rue de la Bruère,4,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 249,500 ",216 rue Notre-Dame Est,1,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 392,000 ","705-713, rue Laurier",3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 370,000 ",2087 rue de Ramezay,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 595,000 ",1440 rue du Haut-Fourneau,4,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 450,000 ","407-409, rue du Menuisier",2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 495,000 ",3040 boulevard Saint-Michel,5,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 275,000 ",106-550 rue Michel-Lemay,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 635,000 ",7345 rue du Pont,4,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 795,000 ",4 rue Jules-Montour,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 359,900 ",rue de la Création,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 350,000 ",895-897-899 rue Sainte-Cécile,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 720,000 ",211 rue de la Forêt,5,3,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 335,000 ",103-300 rue Hart,1,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 210,000 ",58 rue Alice,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 905,700 ",4255 rue de Sabrevois,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 717,670 ",1625 rue Simon-Piskaret,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 267,000 ",360 rue Saint-Laurent,4,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 998,000 ",3200 rue Notre-Dame Est,2,4,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 490,000 ",94 rue Duguay,2,3,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 490,000 ",151 rue des Visons,3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 415,999 ",1820 rue du Fief,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 234,000 ",6324 boulevard Parent,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 415,000 ",5-505 rue des Commissaires,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 315,000 ",1310 rue Donat-Livernoche,2,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 415,000 ",161 place Dubois,3,2,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 359,000 ",rue Grimard,3,1,Quebec,139163,46.35,-72.55,62400
Trois-Rivieres," 79,000 ",9-1078 rue Sainte-Julie,1,1,Quebec,139163,46.35,-72.55,62400
